from,indexvertexfrom,to,indexvertexto,altname,unixtimestamp,date,open,high,low,close,vwap,volume,count
LOCKIN,267,USD,490,LOCKINUSD,1761868800,2025-10-31,0.00511,0.00538,0.00463,0.00478,0.00508,2989138.87592,544
LOFI,268,EUR,167,LOFIEUR,1761868800,2025-10-31,0.00895,0.00895,0.00841,0.00885,0.00864,109213.36892,21
LOFI,268,USD,490,LOFIUSD,1761868800,2025-10-31,0.00997,0.01073,0.00972,0.01030,0.01008,1297967.58108,224
LPT,269,EUR,167,LPTEUR,1761868800,2025-10-31,3.997,4.121,3.990,4.070,4.045,2046.62783611,96
LPT,269,USD,490,LPTUSD,1761868800,2025-10-31,4.635,4.757,4.614,4.706,4.679,1664.30498754,101
LQTY,270,EUR,167,LQTYEUR,1761868800,2025-10-31,0.4939,0.5259,0.4939,0.5259,0.5109,14177.53290,37
LQTY,270,USD,490,LQTYUSD,1761868800,2025-10-31,0.5702,0.7119,0.5702,0.6104,0.5967,49669.19544,194
LRC,271,EUR,167,LRCEUR,1761868800,2025-10-31,0.0565,0.0575,0.0563,0.0570,0.0569,133799.08201886,36
LRC,271,USD,490,LRCUSD,1761868800,2025-10-31,0.0644,0.0665,0.0644,0.0655,0.0652,165837.48866464,65
LSETH,272,ETH,163,LSETHETH,1761868800,2025-10-31,1.0828,1.0828,1.0813,1.0813,1.0818,0.05489556,17
LSETH,272,EUR,167,LSETHEUR,1761868800,2025-10-31,3617.6,3627.7,3617.6,3627.7,3625.9,0.02504165,7
LSETH,272,USD,490,LSETHUSD,1761868800,2025-10-31,4136.0,4212.6,4136.0,4181.8,4159.0,0.05147771,15
LSK,273,EUR,167,LSKEUR,1761868800,2025-10-31,0.172096,0.176428,0.172096,0.174539,0.174221,2977.07187309,21
LSK,273,USD,490,LSKUSD,1761868800,2025-10-31,0.199225,0.202939,0.196048,0.200061,0.199508,47820.45915857,182
LSSOL,274,EUR,167,LSSOLEUR,1761868800,2025-10-31,163.07,166.29,163.07,165.97,165.05,6.22780,6
LSSOL,274,SOL,427,LSSOLSOL,1761868800,2025-10-31,1.0124,1.0189,1.0115,1.0189,1.0152,10.04770,9
LSSOL,274,USD,490,LSSOLUSD,1761868800,2025-10-31,189.85,191.66,187.52,191.29,190.13,8.42981,7
LTC,275,AUD,54,LTCAUD,1761868800,2025-10-31,142.33,146.80,142.33,146.47,144.22,300.62906463,66
LTC,275,ETH,163,LTCETH,1761868800,2025-10-31,0.02452,0.02488,0.02441,0.02478,0.02459,76.53621752,77
LTC,275,GBP,194,LTCGBP,1761868800,2025-10-31,70.96614,73.99490,70.81921,72.71427,72.14859,2260.95154952,1216
LTC,275,USDC,492,LTCUSDC,1761868800,2025-10-31,93.311,96.417,93.218,95.589,95.007,6443.98980885,446
LTC,275,USDT,499,LTCUSDT,1761868800,2025-10-31,93.34721,96.31645,93.04907,95.59674,94.95950,2415.37397100,878
LUNA2,277,EUR,167,LUNA2EUR,1761868800,2025-10-31,0.07999,0.08224,0.07999,0.08105,0.08050,10656.96947950,21
LUNA2,277,USD,490,LUNA2USD,1761868800,2025-10-31,0.09180,0.09441,0.09180,0.09357,0.09297,39289.62331532,48
LUNA,276,EUR,167,LUNAEUR,1761868800,2025-10-31,0.00003631,0.00004388,0.00003573,0.00003727,0.00003718,1563904647.28481312,281
LUNA,276,USD,490,LUNAUSD,1761868800,2025-10-31,0.00004186,0.00004373,0.00004129,0.00004269,0.00004248,2358953166.01776815,990
MANA,279,EUR,167,MANAEUR,1761868800,2025-10-31,0.19149,0.20000,0.19149,0.19609,0.19604,76439.43190244,115
MANA,279,USD,490,MANAUSD,1761868800,2025-10-31,0.22218,0.23035,0.22211,0.22586,0.22602,224127.21601446,553
MANA,279,USDC,492,MANAUSDC,1761868800,2025-10-31,0.22781,0.22913,0.22292,0.22827,0.22402,25897.24482926,17
MANA,279,USDT,499,MANAUSDT,1761868800,2025-10-31,0.22150,0.22910,0.22150,0.22910,0.22585,777.12156112,7
MANA,279,XBT,529,MANAXBT,1761868800,2025-10-31,0.000002079,0.000002079,0.000002056,0.000002077,0.000002064,12847.57472799,54
MASK,280,EUR,167,MASKEUR,1761868800,2025-10-31,0.699,0.710,0.689,0.691,0.699,1419.45092054,16
MASK,280,USD,490,MASKUSD,1761868800,2025-10-31,0.809,0.821,0.792,0.809,0.806,12863.87407886,145
MAT,281,EUR,167,MATEUR,1761868800,2025-10-31,0.2997,0.5105,0.2997,0.3492,0.3992,26770.21775,272
MAT,281,USD,490,MATUSD,1761868800,2025-10-31,0.3417,0.5938,0.3417,0.3942,0.4647,82521.98145,779
MC,282,EUR,167,MCEUR,1761868800,2025-10-31,0.0655,0.0655,0.0549,0.0573,0.0573,21977.32310501,23
MC,282,USD,490,MCUSD,1761868800,2025-10-31,0.0671,0.0697,0.0652,0.0662,0.0679,26667.62635810,31
ME,283,EUR,167,MEEUR,1761868800,2025-10-31,0.3836,0.3837,0.3791,0.3820,0.3834,1033.95368,4
MELANIA,284,EUR,167,MELANIAEUR,1761868800,2025-10-31,0.1031,0.1057,0.0978,0.1020,0.1036,394685.90172,185
MELANIA,284,USD,490,MELANIAUSD,1761868800,2025-10-31,0.1187,0.1227,0.1123,0.1179,0.1192,3128449.68637,986
MELANIA,284,USDC,492,MELANIAUSDC,1761868800,2025-10-31,0.1194,0.1221,0.1137,0.1181,0.1192,119726.51477,99
MELANIA,284,USDT,499,MELANIAUSDT,1761868800,2025-10-31,0.1199,0.1220,0.1124,0.1182,0.1198,104622.44532,83
