altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
HNTUSD,HNT/USD,3,HNT,USD,ZUSD,217,490
HONEYEUR,HONEY/EUR,5,HONEY,EUR,ZEUR,218,167
HONEYUSD,HONEY/USD,5,HONEY,USD,ZUSD,218,490
HOUSEEUR,HOUSE/EUR,5,HOUSE,EUR,ZEUR,219,167
HOUSEUSD,HOUSE/USD,5,HOUSE,USD,ZUSD,219,490
HPOS10IEUR,HPOS10I/EUR,7,HPOS10I,EUR,ZEUR,220,167
HPOS10IUSD,HPOS10I/USD,7,HPOS10I,USD,ZUSD,220,490
HUSD,H/USD,1,H,USD,ZUSD,211,490
ICNTEUR,ICNT/EUR,4,ICNT,EUR,ZEUR,221,167
ICNTUSD,ICNT/USD,4,ICNT,USD,ZUSD,221,490
ICPEUR,ICP/EUR,3,ICP,EUR,ZEUR,222,167
ICPUSD,ICP/USD,3,ICP,USD,ZUSD,222,490
ICXEUR,ICX/EUR,3,ICX,EUR,ZEUR,223,167
ICXUSD,ICX/USD,3,ICX,USD,ZUSD,223,490
IDEXEUR,IDEX/EUR,4,IDEX,EUR,ZEUR,224,167
IDEXUSD,IDEX/USD,4,IDEX,USD,ZUSD,224,490
IMXEUR,IMX/EUR,3,IMX,EUR,ZEUR,225,167
IMXUSD,IMX/USD,3,IMX,USD,ZUSD,225,490
INITEUR,INIT/EUR,4,INIT,EUR,ZEUR,226,167
INITUSD,INIT/USD,4,INIT,USD,ZUSD,226,490
INJEUR,INJ/EUR,3,INJ,EUR,ZEUR,227,167
INJUSD,INJ/USD,3,INJ,USD,ZUSD,227,490
INTREUR,INTR/EUR,4,INTR,EUR,ZEUR,228,167
INTRUSD,INTR/USD,4,INTR,USD,ZUSD,228,490
IPEUR,IP/EUR,2,IP,EUR,ZEUR,229,167
IPUSD,IP/USD,2,IP,USD,ZUSD,229,490
JAILSTOOLEUR,JAILSTOOL/EUR,9,JAILSTOOL,EUR,ZEUR,230,167
JAILSTOOLUSD,JAILSTOOL/USD,9,JAILSTOOL,USD,ZUSD,230,490
JASMYEUR,JASMY/EUR,5,JASMY,EUR,ZEUR,231,167
JASMYUSD,JASMY/USD,5,JASMY,USD,ZUSD,231,490
JITOSOLEUR,JITOSOL/EUR,7,JITOSOL,EUR,ZEUR,232,167
JITOSOLSOL,JITOSOL/SOL,7,JITOSOL,SOL,SOL,232,427
JITOSOLUSD,JITOSOL/USD,7,JITOSOL,USD,ZUSD,232,490
JOEEUR,JOE/EUR,3,JOE,EUR,ZEUR,233,167
JOEUSD,JOE/USD,3,JOE,USD,ZUSD,233,490
JSTEUR,JST/EUR,3,JST,EUR,ZEUR,235,167
JSTUSD,JST/USD,3,JST,USD,ZUSD,235,490
JTOEUR,JTO/EUR,3,JTO,EUR,ZEUR,236,167
JTOUSD,JTO/USD,3,JTO,USD,ZUSD,236,490
JUNOEUR,JUNO/EUR,4,JUNO,EUR,ZEUR,237,167
JUNOUSD,JUNO/USD,4,JUNO,USD,ZUSD,237,490
JUPEUR,JUP/EUR,3,JUP,EUR,ZEUR,238,167
JUPUSD,JUP/USD,3,JUP,USD,ZUSD,238,490
KAITOEUR,KAITO/EUR,5,KAITO,EUR,ZEUR,239,167
KAITOUSD,KAITO/USD,5,KAITO,USD,ZUSD,239,490
KAREUR,KAR/EUR,3,KAR,EUR,ZEUR,240,167
KARUSD,KAR/USD,3,KAR,USD,ZUSD,240,490
KASEUR,KAS/EUR,3,KAS,EUR,ZEUR,241,167
KASUSD,KAS/USD,3,KAS,USD,ZUSD,241,490
KASUSDT,KAS/USDT,3,KAS,USDT,USDT,241,499
KAVAEUR,KAVA/EUR,4,KAVA,EUR,ZEUR,242,167
KAVAUSD,KAVA/USD,4,KAVA,USD,ZUSD,242,490
KEEPEUR,KEEP/EUR,4,KEEP,EUR,ZEUR,243,167
KEEPUSD,KEEP/USD,4,KEEP,USD,ZUSD,243,490
KERNELEUR,KERNEL/EUR,6,KERNEL,EUR,ZEUR,244,167
KERNELUSD,KERNEL/USD,6,KERNEL,USD,ZUSD,244,490
KETEUR,KET/EUR,3,KET,EUR,ZEUR,245,167
KETUSD,KET/USD,3,KET,USD,ZUSD,245,490
KEYEUR,KEY/EUR,3,KEY,EUR,ZEUR,246,167
KEYUSD,KEY/USD,3,KEY,USD,ZUSD,246,490
KGENEUR,KGEN/EUR,4,KGEN,EUR,ZEUR,247,167
KGENUSD,KGEN/USD,4,KGEN,USD,ZUSD,247,490
KINEUR,KIN/EUR,3,KIN,EUR,ZEUR,248,167
KINTEUR,KINT/EUR,4,KINT,EUR,ZEUR,249,167
KINTUSD,KINT/USD,4,KINT,USD,ZUSD,249,490
KINUSD,KIN/USD,3,KIN,USD,ZUSD,248,490
KMNOEUR,KMNO/EUR,4,KMNO,EUR,ZEUR,250,167
KMNOUSD,KMNO/USD,4,KMNO,USD,ZUSD,250,490
KNCEUR,KNC/EUR,3,KNC,EUR,ZEUR,251,167
KNCUSD,KNC/USD,3,KNC,USD,ZUSD,251,490
KOBANEUR,KOBAN/EUR,5,KOBAN,EUR,ZEUR,252,167
KOBANUSD,KOBAN/USD,5,KOBAN,USD,ZUSD,252,490
KP3REUR,KP3R/EUR,4,KP3R,EUR,ZEUR,253,167
KP3RUSD,KP3R/USD,4,KP3R,USD,ZUSD,253,490
KSMEUR,KSM/EUR,3,KSM,EUR,ZEUR,254,167
KSMGBP,KSM/GBP,3,KSM,GBP,ZGBP,254,194
KSMUSD,KSM/USD,3,KSM,USD,ZUSD,254,490
KTAEUR,KTA/EUR,3,KTA,EUR,ZEUR,255,167
KTAUSD,KTA/USD,3,KTA,USD,ZUSD,255,490
L3EUR,L3/EUR,2,L3,EUR,ZEUR,256,167
L3USD,L3/USD,2,L3,USD,ZUSD,256,490
LAYEREUR,LAYER/EUR,5,LAYER,EUR,ZEUR,257,167
LAYERUSD,LAYER/USD,5,LAYER,USD,ZUSD,257,490
LCAPEUR,LCAP/EUR,4,LCAP,EUR,ZEUR,258,167
LCAPUSD,LCAP/USD,4,LCAP,USD,ZUSD,258,490
LCXEUR,LCX/EUR,3,LCX,EUR,ZEUR,259,167
LCXUSD,LCX/USD,3,LCX,USD,ZUSD,259,490
LDOEUR,LDO/EUR,3,LDO,EUR,ZEUR,260,167
LDOUSD,LDO/USD,3,LDO,USD,ZUSD,260,490
LINEAEUR,LINEA/EUR,5,LINEA,EUR,ZEUR,261,167
LINEAUSD,LINEA/USD,5,LINEA,USD,ZUSD,261,490
LINKAUD,LINK/AUD,4,LINK,AUD,ZAUD,262,54
LINKETH,LINK/ETH,4,LINK,ETH,XETH,262,163
LINKEUR,LINK/EUR,4,LINK,EUR,ZEUR,262,167
LINKGBP,LINK/GBP,4,LINK,GBP,ZGBP,262,194
LINKJPY,LINK/JPY,4,LINK,JPY,ZJPY,262,234
LINKUSD,LINK/USD,4,LINK,USD,ZUSD,262,490
LINKUSDC,LINK/USDC,4,LINK,USDC,USDC,262,492
LINKUSDT,LINK/USDT,4,LINK,USDT,USDT,262,499
LINKXBT,LINK/XBT,4,LINK,XBT,XXBT,262,529
LIONEUR,LION/EUR,4,LION,EUR,ZEUR,263,167
LIONUSD,LION/USD,4,LION,USD,ZUSD,263,490
LITEUR,LIT/EUR,3,LIT,EUR,ZEUR,264,167
LITUSD,LIT/USD,3,LIT,USD,ZUSD,264,490
LMWREUR,LMWR/EUR,4,LMWR,EUR,ZEUR,265,167
LMWRUSD,LMWR/USD,4,LMWR,USD,ZUSD,265,490
LOBOEUR,LOBO/EUR,4,LOBO,EUR,ZEUR,266,167
LOBOUSD,LOBO/USD,4,LOBO,USD,ZUSD,266,490
LOCKINEUR,LOCKIN/EUR,6,LOCKIN,EUR,ZEUR,267,167
LOCKINUSD,LOCKIN/USD,6,LOCKIN,USD,ZUSD,267,490
LOFIEUR,LOFI/EUR,4,LOFI,EUR,ZEUR,268,167
LOFIUSD,LOFI/USD,4,LOFI,USD,ZUSD,268,490
LPTEUR,LPT/EUR,3,LPT,EUR,ZEUR,269,167
LPTUSD,LPT/USD,3,LPT,USD,ZUSD,269,490
LQTYEUR,LQTY/EUR,4,LQTY,EUR,ZEUR,270,167
LQTYUSD,LQTY/USD,4,LQTY,USD,ZUSD,270,490
LRCEUR,LRC/EUR,3,LRC,EUR,ZEUR,271,167
LRCUSD,LRC/USD,3,LRC,USD,ZUSD,271,490
LSETHETH,LSETH/ETH,5,LSETH,ETH,XETH,272,163
LSETHEUR,LSETH/EUR,5,LSETH,EUR,ZEUR,272,167
LSETHUSD,LSETH/USD,5,LSETH,USD,ZUSD,272,490
LSKEUR,LSK/EUR,3,LSK,EUR,ZEUR,273,167
LSKUSD,LSK/USD,3,LSK,USD,ZUSD,273,490
LSSOLEUR,LSSOL/EUR,5,LSSOL,EUR,ZEUR,274,167
