altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
OMGEUR,OMG/EUR,3,OMG,EUR,ZEUR,332,167
OMGUSD,OMG/USD,3,OMG,USD,ZUSD,332,490
OMNIEUR,OMNI/EUR,4,OMNI,EUR,ZEUR,333,167
OMNIUSD,OMNI/USD,4,OMNI,USD,ZUSD,333,490
OMUSD,OM/USD,2,OM,USD,ZUSD,331,490
ONDOEUR,ONDO/EUR,4,ONDO,EUR,ZEUR,334,167
ONDOUSD,ONDO/USD,4,ONDO,USD,ZUSD,334,490
OPENEUR,OPEN/EUR,4,OPEN,EUR,ZEUR,336,167
OPENUSD,OPEN/USD,4,OPEN,USD,ZUSD,336,490
OPEUR,OP/EUR,2,OP,EUR,ZEUR,335,167
OPUSD,OP/USD,2,OP,USD,ZUSD,335,490
ORCAEUR,ORCA/EUR,4,ORCA,EUR,ZEUR,337,167
ORCAUSD,ORCA/USD,4,ORCA,USD,ZUSD,337,490
ORDEREUR,ORDER/EUR,5,ORDER,EUR,ZEUR,338,167
ORDERUSD,ORDER/USD,5,ORDER,USD,ZUSD,338,490
OSMOEUR,OSMO/EUR,4,OSMO,EUR,ZEUR,339,167
OSMOUSD,OSMO/USD,4,OSMO,USD,ZUSD,339,490
OXTEUR,OXT/EUR,3,OXT,EUR,ZEUR,340,167
OXTUSD,OXT/USD,3,OXT,USD,ZUSD,340,490
OXYEUR,OXY/EUR,3,OXY,EUR,ZEUR,341,167
OXYUSD,OXY/USD,3,OXY,USD,ZUSD,341,490
PARTIEUR,PARTI/EUR,5,PARTI,EUR,ZEUR,342,167
PARTIUSD,PARTI/USD,5,PARTI,USD,ZUSD,342,490
PAXGETH,PAXG/ETH,4,PAXG,ETH,XETH,343,163
PAXGEUR,PAXG/EUR,4,PAXG,EUR,ZEUR,343,167
PAXGUSD,PAXG/USD,4,PAXG,USD,ZUSD,343,490
PAXGXBT,PAXG/XBT,4,PAXG,XBT,XXBT,343,529
PDAEUR,PDA/EUR,3,PDA,EUR,ZEUR,344,167
PDAUSD,PDA/USD,3,PDA,USD,ZUSD,344,490
PEAQEUR,PEAQ/EUR,4,PEAQ,EUR,ZEUR,345,167
PEAQUSD,PEAQ/USD,4,PEAQ,USD,ZUSD,345,490
PEAQUSDC,PEAQ/USDC,4,PEAQ,USDC,USDC,345,492
PENDLEEUR,PENDLE/EUR,6,PENDLE,EUR,ZEUR,346,167
PENDLEUSD,PENDLE/USD,6,PENDLE,USD,ZUSD,346,490
PENGUEUR,PENGU/EUR,5,PENGU,EUR,ZEUR,347,167
PENGUUSD,PENGU/USD,5,PENGU,USD,ZUSD,347,490
PENGUUSDC,PENGU/USDC,5,PENGU,USDC,USDC,347,492
PENGUUSDT,PENGU/USDT,5,PENGU,USDT,USDT,347,499
PEPEAUD,PEPE/AUD,4,PEPE,AUD,ZAUD,348,54
PEPECAD,PEPE/CAD,4,PEPE,CAD,ZCAD,348,97
PEPEEUR,PEPE/EUR,4,PEPE,EUR,ZEUR,348,167
PEPEGBP,PEPE/GBP,4,PEPE,GBP,ZGBP,348,194
PEPEUSD,PEPE/USD,4,PEPE,USD,ZUSD,348,490
PERPEUR,PERP/EUR,4,PERP,EUR,ZEUR,349,167
PERPUSD,PERP/USD,4,PERP,USD,ZUSD,349,490
PHAEUR,PHA/EUR,3,PHA,EUR,ZEUR,350,167
PHAUSD,PHA/USD,3,PHA,USD,ZUSD,350,490
PIPEEUR,PIPE/EUR,4,PIPE,EUR,ZEUR,351,167
PIPEUSD,PIPE/USD,4,PIPE,USD,ZUSD,351,490
PLAYEUR,PLAY/EUR,4,PLAY,EUR,ZEUR,352,167
PLAYUSD,PLAY/USD,4,PLAY,USD,ZUSD,352,490
PLUMEEUR,PLUME/EUR,5,PLUME,EUR,ZEUR,353,167
PLUMEUSD,PLUME/USD,5,PLUME,USD,ZUSD,353,490
PNUTEUR,PNUT/EUR,4,PNUT,EUR,ZEUR,354,167
PNUTUSD,PNUT/USD,4,PNUT,USD,ZUSD,354,490
POLEUR,POL/EUR,3,POL,EUR,ZEUR,355,167
POLISEUR,POLIS/EUR,5,POLIS,EUR,ZEUR,356,167
POLISUSD,POLIS/USD,5,POLIS,USD,ZUSD,356,490
POLSEUR,POLS/EUR,4,POLS,EUR,ZEUR,357,167
POLSUSD,POLS/USD,4,POLS,USD,ZUSD,357,490
POLUSD,POL/USD,3,POL,USD,ZUSD,355,490
PONDEUR,POND/EUR,4,POND,EUR,ZEUR,358,167
PONDUSD,POND/USD,4,POND,USD,ZUSD,358,490
PONKEEUR,PONKE/EUR,5,PONKE,EUR,ZEUR,359,167
PONKEUSD,PONKE/USD,5,PONKE,USD,ZUSD,359,490
POPCATEUR,POPCAT/EUR,6,POPCAT,EUR,ZEUR,360,167
POPCATGBP,POPCAT/GBP,6,POPCAT,GBP,ZGBP,360,194
POPCATUSD,POPCAT/USD,6,POPCAT,USD,ZUSD,360,490
PORTALEUR,PORTAL/EUR,6,PORTAL,EUR,ZEUR,361,167
PORTALUSD,PORTAL/USD,6,PORTAL,USD,ZUSD,361,490
POWREUR,POWR/EUR,4,POWR,EUR,ZEUR,362,167
POWRUSD,POWR/USD,4,POWR,USD,ZUSD,362,490
PRCLEUR,PRCL/EUR,4,PRCL,EUR,ZEUR,363,167
PRCLUSD,PRCL/USD,4,PRCL,USD,ZUSD,363,490
PRIMEEUR,PRIME/EUR,5,PRIME,EUR,ZEUR,364,167
PRIMEUSD,PRIME/USD,5,PRIME,USD,ZUSD,364,490
PROEUR,PRO/EUR,3,PRO,EUR,ZEUR,365,167
PROMPTEUR,PROMPT/EUR,6,PROMPT,EUR,ZEUR,366,167
PROMPTUSD,PROMPT/USD,6,PROMPT,USD,ZUSD,366,490
PROUSD,PRO/USD,3,PRO,USD,ZUSD,365,490
PROVEEUR,PROVE/EUR,5,PROVE,EUR,ZEUR,367,167
PROVEUSD,PROVE/USD,5,PROVE,USD,ZUSD,367,490
PSTAKEEUR,PSTAKE/EUR,6,PSTAKE,EUR,ZEUR,368,167
PSTAKEUSD,PSTAKE/USD,6,PSTAKE,USD,ZUSD,368,490
PTBEUR,PTB/EUR,3,PTB,EUR,ZEUR,369,167
PTBUSD,PTB/USD,3,PTB,USD,ZUSD,369,490
PUFFEREUR,PUFFER/EUR,6,PUFFER,EUR,ZEUR,370,167
PUFFERUSD,PUFFER/USD,6,PUFFER,USD,ZUSD,370,490
PUMPEUR,PUMP/EUR,4,PUMP,EUR,ZEUR,371,167
PUMPSOL,PUMP/SOL,4,PUMP,SOL,SOL,371,427
PUMPUSD,PUMP/USD,4,PUMP,USD,ZUSD,371,490
PUPSEUR,PUPS/EUR,4,PUPS,EUR,ZEUR,372,167
PUPSUSD,PUPS/USD,4,PUPS,USD,ZUSD,372,490
PYTHEUR,PYTH/EUR,4,PYTH,EUR,ZEUR,373,167
PYTHUSD,PYTH/USD,4,PYTH,USD,ZUSD,373,490
PYUSDEUR,PYUSD/EUR,5,PYUSD,EUR,ZEUR,374,167
PYUSDUSD,PYUSD/USD,5,PYUSD,USD,ZUSD,374,490
QEUR,Q/EUR,1,Q,EUR,ZEUR,375,167
QIEUR,QI/EUR,2,QI,EUR,ZEUR,376,167
QIUSD,QI/USD,2,QI,USD,ZUSD,376,490
QNTEUR,QNT/EUR,3,QNT,EUR,ZEUR,377,167
QNTUSD,QNT/USD,3,QNT,USD,ZUSD,377,490
QTUMEUR,QTUM/EUR,4,QTUM,EUR,ZEUR,378,167
QTUMUSD,QTUM/USD,4,QTUM,USD,ZUSD,378,490
QUSD,Q/USD,1,Q,USD,ZUSD,375,490
RADEUR,RAD/EUR,3,RAD,EUR,ZEUR,379,167
RADUSD,RAD/USD,3,RAD,USD,ZUSD,379,490
RAIINEUR,RAIIN/EUR,5,RAIIN,EUR,ZEUR,380,167
RAIINUSD,RAIIN/USD,5,RAIIN,USD,ZUSD,380,490
RAREEUR,RARE/EUR,4,RARE,EUR,ZEUR,381,167
RAREUSD,RARE/USD,4,RARE,USD,ZUSD,381,490
RARIEUR,RARI/EUR,4,RARI,EUR,ZEUR,382,167
RARIUSD,RARI/USD,4,RARI,USD,ZUSD,382,490
RAYEUR,RAY/EUR,3,RAY,EUR,ZEUR,383,167
RAYUSD,RAY/USD,3,RAY,USD,ZUSD,383,490
RBCEUR,RBC/EUR,3,RBC,EUR,ZEUR,384,167
RBCUSD,RBC/USD,3,RBC,USD,ZUSD,384,490
REDEUR,RED/EUR,3,RED,EUR,ZEUR,385,167
REDUSD,RED/USD,3,RED,USD,ZUSD,385,490
REKTEUR,REKT/EUR,4,REKT,EUR,ZEUR,386,167
REKTUSD,REKT/USD,4,REKT,USD,ZUSD,386,490
RENDEREUR,RENDER/EUR,6,RENDER,EUR,ZEUR,388,167
RENDERUSD,RENDER/USD,6,RENDER,USD,ZUSD,388,490
RENEUR,REN/EUR,3,REN,EUR,ZEUR,387,167
RENUSD,REN/USD,3,REN,USD,ZUSD,387,490
REPV2EUR,REPV2/EUR,5,REPV2,EUR,ZEUR,390,167
REPV2USD,REPV2/USD,5,REPV2,USD,ZUSD,390,490
REQEUR,REQ/EUR,3,REQ,EUR,ZEUR,391,167
REQUSD,REQ/USD,3,REQ,USD,ZUSD,391,490
RETARDIOEUR,RETARDIO/EUR,8,RETARDIO,EUR,ZEUR,392,167
RETARDIOUSD,RETARDIO/USD,8,RETARDIO,USD,ZUSD,392,490
REZEUR,REZ/EUR,3,REZ,EUR,ZEUR,393,167
REZUSD,REZ/USD,3,REZ,USD,ZUSD,393,490
RHEAEUR,RHEA/EUR,4,RHEA,EUR,ZEUR,394,167
RHEAUSD,RHEA/USD,4,RHEA,USD,ZUSD,394,490
RIZEEUR,RIZE/EUR,4,RIZE,EUR,ZEUR,395,167
RIZEUSD,RIZE/USD,4,RIZE,USD,ZUSD,395,490
RLCEUR,RLC/EUR,3,RLC,EUR,ZEUR,396,167
RLCUSD,RLC/USD,3,RLC,USD,ZUSD,396,490
RLUSDEUR,RLUSD/EUR,5,RLUSD,EUR,ZEUR,397,167
RLUSDUSD,RLUSD/USD,5,RLUSD,USD,ZUSD,397,490
RLUSDUSDC,RLUSD/USDC,5,RLUSD,USDC,USDC,397,492
RLUSDUSDT,RLUSD/USDT,5,RLUSD,USDT,USDT,397,499
ROOKEUR,ROOK/EUR,4,ROOK,EUR,ZEUR,398,167
ROOKUSD,ROOK/USD,4,ROOK,USD,ZUSD,398,490
RPLEUR,RPL/EUR,3,RPL,EUR,ZEUR,399,167
RPLUSD,RPL/USD,3,RPL,USD,ZUSD,399,490
RSREUR,RSR/EUR,3,RSR,EUR,ZEUR,400,167
RSRUSD,RSR/USD,3,RSR,USD,ZUSD,400,490
RUJIEUR,RUJI/EUR,4,RUJI,EUR,ZEUR,401,167
RUJIUSD,RUJI/USD,4,RUJI,USD,ZUSD,401,490
RUNEEUR,RUNE/EUR,4,RUNE,EUR,ZEUR,402,167
RUNEUSD,RUNE/USD,4,RUNE,USD,ZUSD,402,490
SAFEEUR,SAFE/EUR,4,SAFE,EUR,ZEUR,404,167
SAFEUSD,SAFE/USD,4,SAFE,USD,ZUSD,404,490
SAGAEUR,SAGA/EUR,4,SAGA,EUR,ZEUR,405,167
SAGAUSD,SAGA/USD,4,SAGA,USD,ZUSD,405,490
SAHARAEUR,SAHARA/EUR,6,SAHARA,EUR,ZEUR,406,167
SAHARAUSD,SAHARA/USD,6,SAHARA,USD,ZUSD,406,490
SAMOEUR,SAMO/EUR,4,SAMO,EUR,ZEUR,407,167
SAMOUSD,SAMO/USD,4,SAMO,USD,ZUSD,407,490
SANDEUR,SAND/EUR,4,SAND,EUR,ZEUR,408,167
SANDGBP,SAND/GBP,4,SAND,GBP,ZGBP,408,194
SANDUSD,SAND/USD,4,SAND,USD,ZUSD,408,490
SANDXBT,SAND/XBT,4,SAND,XBT,XXBT,408,529
SAPIENEUR,SAPIEN/EUR,6,SAPIEN,EUR,ZEUR,409,167
SAPIENUSD,SAPIEN/USD,6,SAPIEN,USD,ZUSD,409,490
SAROSEUR,SAROS/EUR,5,SAROS,EUR,ZEUR,410,167
SAROSUSD,SAROS/USD,5,SAROS,USD,ZUSD,410,490
SBREUR,SBR/EUR,3,SBR,EUR,ZEUR,411,167
SBRUSD,SBR/USD,3,SBR,USD,ZUSD,411,490
SCAEUR,SCA/EUR,3,SCA,EUR,ZEUR,413,167
SCAUSD,SCA/USD,3,SCA,USD,ZUSD,413,490
SCEUR,SC/EUR,2,SC,EUR,ZEUR,412,167
SCRTEUR,SCRT/EUR,4,SCRT,EUR,ZEUR,414,167
SCRTUSD,SCRT/USD,4,SCRT,USD,ZUSD,414,490
SCUSD,SC/USD,2,SC,USD,ZUSD,412,490
SCXBT,SC/XBT,2,SC,XBT,XXBT,412,529
SDNEUR,SDN/EUR,3,SDN,EUR,ZEUR,415,167
SDNUSD,SDN/USD,3,SDN,USD,ZUSD,415,490
SEIEUR,SEI/EUR,3,SEI,EUR,ZEUR,416,167
SEIUSD,SEI/USD,3,SEI,USD,ZUSD,416,490
SEUR,S/EUR,1,S,EUR,ZEUR,403,167
SGBEUR,SGB/EUR,3,SGB,EUR,ZEUR,417,167
SGBUSD,SGB/USD,3,SGB,USD,ZUSD,417,490
SHIBEUR,SHIB/EUR,4,SHIB,EUR,ZEUR,418,167
SHIBUSD,SHIB/USD,4,SHIB,USD,ZUSD,418,490
SHIBUSDC,SHIB/USDC,4,SHIB,USDC,USDC,418,492
SHIBUSDT,SHIB/USDT,4,SHIB,USDT,USDT,418,499
SHXEUR,SHX/EUR,3,SHX,EUR,ZEUR,419,167
SHXUSD,SHX/USD,3,SHX,USD,ZUSD,419,490
SIDEKICKEUR,SIDEKICK/EUR,8,SIDEKICK,EUR,ZEUR,420,167
SIDEKICKUSD,SIDEKICK/USD,8,SIDEKICK,USD,ZUSD,420,490
SIDEKICKUSDT,SIDEKICK/USDT,8,SIDEKICK,USDT,USDT,420,499
SIGMAEUR,SIGMA/EUR,5,SIGMA,EUR,ZEUR,421,167
SIGMAUSD,SIGMA/USD,5,SIGMA,USD,ZUSD,421,490
SKYEUR,SKY/EUR,3,SKY,EUR,ZEUR,422,167
SKYUSD,SKY/USD,3,SKY,USD,ZUSD,422,490
SLAYEUR,SLAY/EUR,4,SLAY,EUR,ZEUR,423,167
SLAYUSD,SLAY/USD,4,SLAY,USD,ZUSD,423,490
SNEKEUR,SNEK/EUR,4,SNEK,EUR,ZEUR,424,167
SNEKUSD,SNEK/USD,4,SNEK,USD,ZUSD,424,490
SNXEUR,SNX/EUR,3,SNX,EUR,ZEUR,425,167
SNXUSD,SNX/USD,3,SNX,USD,ZUSD,425,490
SNXXBT,SNX/XBT,3,SNX,XBT,XXBT,425,529
SOGNIEUR,SOGNI/EUR,5,SOGNI,EUR,ZEUR,426,167
SOGNIUSD,SOGNI/USD,5,SOGNI,USD,ZUSD,426,490
SOLAUD,SOL/AUD,3,SOL,AUD,ZAUD,427,54
SOLCAD,SOL/CAD,3,SOL,CAD,ZCAD,427,97
SOLETH,SOL/ETH,3,SOL,ETH,XETH,427,163
SOLEUR,SOL/EUR,3,SOL,EUR,ZEUR,427,167
SOLEURC,SOL/EURC,3,SOL,EURC,EURC,427,168
SOLGBP,SOL/GBP,3,SOL,GBP,ZGBP,427,194
SOLUSD,SOL/USD,3,SOL,USD,ZUSD,427,490
SOLUSD1,SOL/USD1,3,SOL,USD1,USD1,427,491
SOLUSDC,SOL/USDC,3,SOL,USDC,USDC,427,492
SOLUSDT,SOL/USDT,3,SOL,USDT,USDT,427,499
SOLVEUR,SOLV/EUR,4,SOLV,EUR,ZEUR,428,167
SOLVUSD,SOLV/USD,4,SOLV,USD,ZUSD,428,490
SOLXBT,SOL/XBT,3,SOL,XBT,XXBT,427,529
SOMIEUR,SOMI/EUR,4,SOMI,EUR,ZEUR,429,167
SOMIUSD,SOMI/USD,4,SOMI,USD,ZUSD,429,490
SONICEUR,SONIC/EUR,5,SONIC,EUR,ZEUR,430,167
SONICUSD,SONIC/USD,5,SONIC,USD,ZUSD,430,490
SOONEUR,SOON/EUR,4,SOON,EUR,ZEUR,431,167
SOONUSD,SOON/USD,4,SOON,USD,ZUSD,431,490
SOSOEUR,SOSO/EUR,4,SOSO,EUR,ZEUR,432,167
SOSOUSD,SOSO/USD,4,SOSO,USD,ZUSD,432,490
SPELLEUR,SPELL/EUR,5,SPELL,EUR,ZEUR,433,167
SPELLUSD,SPELL/USD,5,SPELL,USD,ZUSD,433,490
SPICEEUR,SPICE/EUR,5,SPICE,EUR,ZEUR,434,167
SPICEUSD,SPICE/USD,5,SPICE,USD,ZUSD,434,490
SPKEUR,SPK/EUR,3,SPK,EUR,ZEUR,435,167
SPKUSD,SPK/USD,3,SPK,USD,ZUSD,435,490
SPXEUR,SPX/EUR,3,SPX,EUR,ZEUR,436,167
SPXUSD,SPX/USD,3,SPX,USD,ZUSD,436,490
SRMEUR,SRM/EUR,3,SRM,EUR,ZEUR,437,167
SRMUSD,SRM/USD,3,SRM,USD,ZUSD,437,490
SSVEUR,SSV/EUR,3,SSV,EUR,ZEUR,438,167
SSVUSD,SSV/USD,3,SSV,USD,ZUSD,438,490
STBLEUR,STBL/EUR,4,STBL,EUR,ZEUR,439,167
STBLUSD,STBL/USD,4,STBL,USD,ZUSD,439,490
STEPEUR,STEP/EUR,4,STEP,EUR,ZEUR,440,167
STEPUSD,STEP/USD,4,STEP,USD,ZUSD,440,490
STGEUR,STG/EUR,3,STG,EUR,ZEUR,441,167
STGUSD,STG/USD,3,STG,USD,ZUSD,441,490
STORJEUR,STORJ/EUR,5,STORJ,EUR,ZEUR,442,167
STORJUSD,STORJ/USD,5,STORJ,USD,ZUSD,442,490
STRDEUR,STRD/EUR,4,STRD,EUR,ZEUR,443,167
STRDUSD,STRD/USD,4,STRD,USD,ZUSD,443,490
STRKEUR,STRK/EUR,4,STRK,EUR,ZEUR,444,167
STRKUSD,STRK/USD,4,STRK,USD,ZUSD,444,490
STXEUR,STX/EUR,3,STX,EUR,ZEUR,445,167
STXUSD,STX/USD,3,STX,USD,ZUSD,445,490
SUIEUR,SUI/EUR,3,SUI,EUR,ZEUR,446,167
SUIGBP,SUI/GBP,3,SUI,GBP,ZGBP,446,194
SUIUSD,SUI/USD,3,SUI,USD,ZUSD,446,490
SUKUEUR,SUKU/EUR,4,SUKU,EUR,ZEUR,447,167
SUKUUSD,SUKU/USD,4,SUKU,USD,ZUSD,447,490
SUNDOGEUR,SUNDOG/EUR,6,SUNDOG,EUR,ZEUR,449,167
SUNDOGUSD,SUNDOG/USD,6,SUNDOG,USD,ZUSD,449,490
SUNEUR,SUN/EUR,3,SUN,EUR,ZEUR,448,167
SUNUSD,SUN/USD,3,SUN,USD,ZUSD,448,490
SUPEREUR,SUPER/EUR,5,SUPER,EUR,ZEUR,450,167
SUPERUSD,SUPER/USD,5,SUPER,USD,ZUSD,450,490
SUSD,S/USD,1,S,USD,ZUSD,403,490
SUSDC,S/USDC,1,S,USDC,USDC,403,492
SUSDT,S/USDT,1,S,USDT,USDT,403,499
SUSHIEUR,SUSHI/EUR,5,SUSHI,EUR,ZEUR,451,167
SUSHIUSD,SUSHI/USD,5,SUSHI,USD,ZUSD,451,490
SWARMSEUR,SWARMS/EUR,6,SWARMS,EUR,ZEUR,452,167
SWARMSUSD,SWARMS/USD,6,SWARMS,USD,ZUSD,452,490
SWEATEUR,SWEAT/EUR,5,SWEAT,EUR,ZEUR,453,167
SWEATUSD,SWEAT/USD,5,SWEAT,USD,ZUSD,453,490
SWELLEUR,SWELL/EUR,5,SWELL,EUR,ZEUR,454,167
SWELLUSD,SWELL/USD,5,SWELL,USD,ZUSD,454,490
SXTEUR,SXT/EUR,3,SXT,EUR,ZEUR,455,167
SXTUSD,SXT/USD,3,SXT,USD,ZUSD,455,490
SYNDEUR,SYND/EUR,4,SYND,EUR,ZEUR,457,167
SYNDUSD,SYND/USD,4,SYND,USD,ZUSD,457,490
SYNEUR,SYN/EUR,3,SYN,EUR,ZEUR,456,167
SYNUSD,SYN/USD,3,SYN,USD,ZUSD,456,490
SYRUPEUR,SYRUP/EUR,5,SYRUP,EUR,ZEUR,458,167
SYRUPUSD,SYRUP/USD,5,SYRUP,USD,ZUSD,458,490
TACEUR,TAC/EUR,3,TAC,EUR,ZEUR,460,167
TACUSD,TAC/USD,3,TAC,USD,ZUSD,460,490
TANSSIEUR,TANSSI/EUR,6,TANSSI,EUR,ZEUR,461,167
TANSSIUSD,TANSSI/USD,6,TANSSI,USD,ZUSD,461,490
TAOEUR,TAO/EUR,3,TAO,EUR,ZEUR,462,167
TAOUSD,TAO/USD,3,TAO,USD,ZUSD,462,490
TBTCEUR,TBTC/EUR,4,TBTC,EUR,ZEUR,463,167
TBTCUSD,TBTC/USD,4,TBTC,USD,ZUSD,463,490
TBTCXBT,TBTC/XBT,4,TBTC,XBT,XXBT,463,529
TEEREUR,TEER/EUR,4,TEER,EUR,ZEUR,464,167
TEERUSD,TEER/USD,4,TEER,USD,ZUSD,464,490
TERMEUR,TERM/EUR,4,TERM,EUR,ZEUR,465,167
TERMUSD,TERM/USD,4,TERM,USD,ZUSD,465,490
TEUR,T/EUR,1,T,EUR,ZEUR,459,167
TIAEUR,TIA/EUR,3,TIA,EUR,ZEUR,466,167
TIAUSD,TIA/USD,3,TIA,USD,ZUSD,466,490
TITCOINEUR,TITCOIN/EUR,7,TITCOIN,EUR,ZEUR,467,167
TITCOINUSD,TITCOIN/USD,7,TITCOIN,USD,ZUSD,467,490
TLMEUR,TLM/EUR,3,TLM,EUR,ZEUR,468,167
TLMUSD,TLM/USD,3,TLM,USD,ZUSD,468,490
TNSREUR,TNSR/EUR,4,TNSR,EUR,ZEUR,469,167
TNSRUSD,TNSR/USD,4,TNSR,USD,ZUSD,469,490
TOKEEUR,TOKE/EUR,4,TOKE,EUR,ZEUR,470,167
TOKENEUR,TOKEN/EUR,5,TOKEN,EUR,ZEUR,471,167
TOKENUSD,TOKEN/USD,5,TOKEN,USD,ZUSD,471,490
TOKEUSD,TOKE/USD,4,TOKE,USD,ZUSD,470,490
TONEUR,TON/EUR,3,TON,EUR,ZEUR,472,167
TONUSD,TON/USD,3,TON,USD,ZUSD,472,490
TONUSDC,TON/USDC,3,TON,USDC,USDC,472,492
TONUSDT,TON/USDT,3,TON,USDT,USDT,472,499
TOSHIEUR,TOSHI/EUR,5,TOSHI,EUR,ZEUR,473,167
TOSHIUSD,TOSHI/USD,5,TOSHI,USD,ZUSD,473,490
TRACEUR,TRAC/EUR,4,TRAC,EUR,ZEUR,474,167
TRACUSD,TRAC/USD,4,TRAC,USD,ZUSD,474,490
TREEEUR,TREE/EUR,4,TREE,EUR,ZEUR,475,167
TREEUSD,TREE/USD,4,TREE,USD,ZUSD,475,490
TREMPEUR,TREMP/EUR,5,TREMP,EUR,ZEUR,476,167
TREMPUSD,TREMP/USD,5,TREMP,USD,ZUSD,476,490
TRUEUR,TRU/EUR,3,TRU,EUR,ZEUR,477,167
TRUMPEUR,TRUMP/EUR,5,TRUMP,EUR,ZEUR,478,167
TRUMPUSD,TRUMP/USD,5,TRUMP,USD,ZUSD,478,490
TRUMPUSDC,TRUMP/USDC,5,TRUMP,USDC,USDC,478,492
TRUMPUSDT,TRUMP/USDT,5,TRUMP,USDT,USDT,478,499
TRUUSD,TRU/USD,3,TRU,USD,ZUSD,477,490
TRXETH,TRX/ETH,3,TRX,ETH,XETH,479,163
TRXEUR,TRX/EUR,3,TRX,EUR,ZEUR,479,167
TRXUSD,TRX/USD,3,TRX,USD,ZUSD,479,490
TRXUSDD,TRX/USDD,3,TRX,USDD,USDD,479,493
TRXXBT,TRX/XBT,3,TRX,XBT,XXBT,479,529
TURBOEUR,TURBO/EUR,5,TURBO,EUR,ZEUR,480,167
TURBOUSD,TURBO/USD,5,TURBO,USD,ZUSD,480,490
TUSD,T/USD,1,T,USD,ZUSD,459,490
TUSDEUR,TUSD/EUR,4,TUSD,EUR,ZEUR,481,167
TUSDUSD,TUSD/USD,4,TUSD,USD,ZUSD,481,490
TVKEUR,TVK/EUR,3,TVK,EUR,ZEUR,482,167
TVKUSD,TVK/USD,3,TVK,USD,ZUSD,482,490
U2UEUR,U2U/EUR,3,U2U,EUR,ZEUR,484,167
U2UUSD,U2U/USD,3,U2U,USD,ZUSD,484,490
UEUR,U/EUR,1,U,EUR,ZEUR,483,167
UFDEUR,UFD/EUR,3,UFD,EUR,ZEUR,485,167
UFDUSD,UFD/USD,3,UFD,USD,ZUSD,485,490
UMAEUR,UMA/EUR,3,UMA,EUR,ZEUR,486,167
UMAUSD,UMA/USD,3,UMA,USD,ZUSD,486,490
UNFIEUR,UNFI/EUR,4,UNFI,EUR,ZEUR,487,167
UNFIUSD,UNFI/USD,4,UNFI,USD,ZUSD,487,490
UNIETH,UNI/ETH,3,UNI,ETH,XETH,488,163
UNIEUR,UNI/EUR,3,UNI,EUR,ZEUR,488,167
UNITEEUR,UNITE/EUR,5,UNITE,EUR,ZEUR,489,167
UNITEUSD,UNITE/USD,5,UNITE,USD,ZUSD,489,490
UNIUSD,UNI/USD,3,UNI,USD,ZUSD,488,490
UNIXBT,UNI/XBT,3,UNI,XBT,XXBT,488,529
USD1USD,USD1/USD,4,USD1,USD,ZUSD,491,490
USD1USDC,USD1/USDC,4,USD1,USDC,USDC,491,492
USDCAUD,USDC/AUD,4,USDC,AUD,ZAUD,492,54
USDCCAD,USDC/CAD,4,USDC,CAD,ZCAD,492,97
USDCCHF,USDC/CHF,4,USDC,CHF,CHF,492,109
USDCEUR,USDC/EUR,4,USDC,EUR,ZEUR,492,167
USDCGBP,USDC/GBP,4,USDC,GBP,ZGBP,492,194
USDCHF,USD/CHF,3,USD,CHF,CHF,490,109
USDCUSD,USDC/USD,4,USDC,USD,ZUSD,492,490
USDCUSDT,USDC/USDT,4,USDC,USDT,USDT,492,499
USDDEUR,USDD/EUR,4,USDD,EUR,ZEUR,493,167
USDDUSD,USDD/USD,4,USDD,USD,ZUSD,493,490
USDEEUR,USDE/EUR,4,USDE,EUR,ZEUR,494,167
USDEUSD,USDE/USD,4,USDE,USD,ZUSD,494,490
USDEUSDC,USDE/USDC,4,USDE,USDC,USDC,494,492
USDEUSDT,USDE/USDT,4,USDE,USDT,USDT,494,499
USDGEUR,USDG/EUR,4,USDG,EUR,ZEUR,495,167
USDGUSD,USDG/USD,4,USDG,USD,ZUSD,495,490
USDGUSDC,USDG/USDC,4,USDG,USDC,USDC,495,492
USDGUSDT,USDG/USDT,4,USDG,USDT,USDT,495,499
USDQEUR,USDQ/EUR,4,USDQ,EUR,ZEUR,496,167
USDQUSD,USDQ/USD,4,USDQ,USD,ZUSD,496,490
USDQUSDC,USDQ/USDC,4,USDQ,USDC,USDC,496,492
USDQUSDT,USDQ/USDT,4,USDQ,USDT,USDT,496,499
USDREUR,USDR/EUR,4,USDR,EUR,ZEUR,497,167
USDRUSD,USDR/USD,4,USDR,USD,ZUSD,497,490
USDRUSDC,USDR/USDC,4,USDR,USDC,USDC,497,492
USDRUSDT,USDR/USDT,4,USDR,USDT,USDT,497,499
USDSEUR,USDS/EUR,4,USDS,EUR,ZEUR,498,167
USDSUSD,USDS/USD,4,USDS,USD,ZUSD,498,490
USDTAUD,USDT/AUD,4,USDT,AUD,ZAUD,499,54
USDTCAD,USDT/CAD,4,USDT,CAD,ZCAD,499,97
USDTCHF,USDT/CHF,4,USDT,CHF,CHF,499,109
USDTEUR,USDT/EUR,4,USDT,EUR,ZEUR,499,167
USDTGBP,USDT/GBP,4,USDT,GBP,ZGBP,499,194
USDTJPY,USDT/JPY,4,USDT,JPY,ZJPY,499,234
USDTUSD,USDT/USD,4,USDT,USD,ZUSD,499,490
